hour,total_checkouts,total_pageviews,FB_Conversion_Rate,average_order_value,FB_CTR,discounts,total_sales_lag1,total_sales_lag7,total_sales_rolling_mean
2021-01-01,0.20833333333333334,28.958333333333332,0.0350194552529182,45.648,0.621526,-4.083333333333333,3042.562414266118,3021.396957123098,3027.2993291239145
2021-01-02,0.8333333333333334,47.25,0.05128205128205119,58.184,0.6782499999999999,-10.791666666666666,1776.0,3021.396957123098,3027.2993291239145
2021-01-03,0.75,52.458333333333336,0.0375722543352601,63.91,1.01766,-11.333333333333334,6682.0,3021.396957123098,3027.2993291239145
2021-01-04,0.9583333333333334,45.375,0.0651465798045602,72.2,0.954313,-9.958333333333334,8233.0,3021.396957123098,3027.2993291239145
2021-01-05,0.25,36.125,0.0604838709677419,57.139,0.658042,-10.958333333333334,6736.0,3021.396957123098,3027.2993291239145
2021-01-06,0.8333333333333334,55.208333333333336,0.2286995515695067,68.937,2.579259,-8.666666666666666,4736.0,3021.396957123098,3027.2993291239145
2021-01-07,0.2916666666666667,31.291666666666668,0.38391624482282555,59.99,1.657191,-8.5,6127.0,3021.396957123098,5608.428571428572
2021-01-08,0.625,35.666666666666664,0.021818181818181803,55.861,0.7133600000000001,-25.666666666666668,4969.0,1776.0,5825.428571428572
2021-01-09,0.4583333333333333,41.583333333333336,0.0517241379310344,56.397,0.823937,-10.833333333333334,3295.0,6682.0,5498.428571428572
2021-01-10,0.7916666666666666,40.333333333333336,0.0677966101694915,57.947,0.831803,-11.916666666666666,4393.0,8233.0,5115.857142857143
2021-01-11,0.7083333333333334,41.958333333333336,0.05574912891986059,58.988,0.8683140000000001,-11.125,5555.0,6736.0,4995.142857142857
2021-01-12,0.625,38.416666666666664,0.0613026819923371,57.50300000000001,0.675353,-7.333333333333333,5891.0,4736.0,4950.428571428572
2021-01-13,0.6666666666666666,39.0,0.0968992248062015,50.073,0.553617,-9.416666666666666,4423.0,6127.0,4732.0
2021-01-14,0.4583333333333333,43.208333333333336,0.065891472868217,50.556000000000004,0.574254,-14.208333333333334,4598.0,4969.0,4695.857142857143
2021-01-15,0.5416666666666666,33.25,0.0677966101694915,48.505,0.557639,-19.791666666666668,4716.0,3295.0,4937.428571428572
2021-01-16,0.5833333333333334,49.875,0.0360655737704918,52.511,0.8212610000000001,-23.583333333333332,4986.0,4393.0,5253.571428571428
2021-01-17,1.0416666666666667,61.25,0.0815047021943573,61.457,0.757733,-39.958333333333336,6606.0,5555.0,6047.571428571428
2021-01-18,1.4166666666666667,59.625,0.09200000000000001,72.95,0.6953330000000001,-57.916666666666664,11113.0,5891.0,7009.571428571428
2021-01-19,1.8333333333333333,85.04166666666667,0.1387096774193548,59.17499999999999,0.882848,-65.20833333333333,12625.0,4423.0,9217.57142857143
2021-01-20,2.2083333333333335,98.5,0.11228070175438591,56.877,0.745923,-46.458333333333336,19879.0,4598.0,11165.285714285714
2021-01-21,1.4583333333333333,79.5,0.1162790697674418,62.364,0.601263,-40.083333333333336,18232.0,4716.0,13206.142857142857
2021-01-22,1.4166666666666667,78.66666666666667,0.0785714285714285,62.882,0.738055,-41.833333333333336,19002.0,4986.0,15157.142857142857
2021-01-23,1.6666666666666667,99.16666666666667,0.0863930885529157,57.65200000000001,1.5276629999999998,-43.916666666666664,18643.0,6606.0,16794.571428571428
2021-01-24,1.875,124.79166666666667,0.3656759595528021,54.06,11.288871,-44.791666666666664,18068.0,11113.0,17630.0
2021-01-25,1.8333333333333333,99.5,0.3243773845469653,60.315,6.319983,-26.583333333333332,16961.0,12625.0,17685.285714285714
2021-01-26,1.125,80.83333333333333,0.3268338812351432,54.95000000000001,6.558122,-21.416666666666668,13012.0,19879.0,16504.571428571428
2021-01-27,1.2916666666666667,84.08333333333333,0.22811544991511026,53.96200000000001,5.919225999999999,-25.541666666666668,11614.0,18232.0,15678.57142857143
2021-01-28,1.6666666666666667,102.08333333333333,0.3975351434790151,52.78799999999999,6.041374,-26.208333333333332,12450.0,19002.0,15338.285714285714
2021-01-29,1.4166666666666667,90.25,0.3253796515082424,56.148,5.651545000000001,-7.041666666666667,16620.0,18643.0,15145.285714285714
2021-01-30,1.6666666666666667,113.33333333333333,0.2276313628899835,56.66,6.065411999999999,-6.75,17292.0,18068.0,14789.714285714286
2021-01-31,1.9583333333333333,125.91666666666667,0.312367476844445,56.33700000000001,6.999546,-6.791666666666667,15579.0,16961.0,15138.42857142857
2021-02-01,2.7083333333333335,141.75,0.2901805826627616,63.316,6.676601000000001,-10.75,19402.0,13012.0,16940.714285714286
2021-02-02,2.8333333333333335,130.45833333333334,0.5211857615824212,59.615,6.13917,-9.0,25628.0,11614.0,19077.0
2021-02-03,2.9583333333333335,131.91666666666666,0.5757745727853553,63.127,5.520734999999999,-12.791666666666666,26568.0,12450.0,21765.285714285714
2021-02-04,2.0,116.20833333333333,0.1336454116059379,59.544000000000004,2.91391,-15.875,31268.0,16620.0,22919.0
2021-02-05,2.125,116.16666666666667,0.1091605564955818,61.869,2.838163,-7.666666666666667,24696.0,17292.0,23558.14285714286
2021-02-06,2.0833333333333335,110.04166666666667,0.14206548292427,57.231,3.191443,-3.5,21766.0,15579.0,24071.0
2021-02-07,1.7083333333333333,94.375,0.1057730923694779,61.427,3.1760250000000005,-3.5,19169.0,19402.0,23801.428571428572
2021-02-08,0.625,60.833333333333336,0.0173267326732673,58.99100000000001,1.026517,-4.125,17515.0,25628.0,20874.85714285714
