hour,total_sales_transformed
2021-01-01,13.570794156142709
2021-01-02,17.754994278434538
2021-01-03,18.498781734077767
2021-01-04,17.78323520531423
2021-01-05,16.579767208673886
2021-01-06,17.452971378063545
2021-01-07,16.73994591015139
2021-01-08,15.408847186466897
2021-01-09,16.33146181495168
2021-01-10,17.116473751191847
2021-01-11,17.317490973329914
2021-01-12,16.35381766757667
2021-01-13,16.481743920760493
2021-01-14,16.5657110235149
2021-01-15,16.751383543962294
2021-01-16,17.71491907189905
2021-01-17,19.609902637547044
2021-01-18,20.097842504052405
2021-01-19,21.91150092332894
2021-01-20,21.55652843285602
2021-01-21,21.72574640121634
2021-01-22,21.647593038386802
2021-01-23,21.519702184180442
2021-01-24,21.26339267086666
2021-01-25,20.214702414547684
2021-01-26,19.77751841051726
2021-01-27,20.043995627050766
2021-01-28,21.181566587446945
2021-01-29,21.341489323451466
2021-01-30,20.922599904205413
2021-01-31,21.81135644213503
2021-02-01,22.98061322183012
2021-02-02,23.135472440270945
2021-02-03,23.8460096367125
2021-02-04,22.822209526943563
2021-02-05,22.288600105785306
2021-02-06,21.761673667419643
2021-02-07,21.39338913217665
2021-02-08,16.854835161454993
2021-02-09,15.804778824293242
2021-02-10,15.030908140820294
2021-02-11,15.949328086047343
2021-02-12,15.082124980546094
2021-02-13,16.111638660774926
2021-02-14,15.39455678605847
2021-02-15,16.30145365499395
2021-02-16,16.132931131025313
2021-02-17,15.667883785454164
2021-02-18,15.832088122775172
2021-02-19,16.43252971707749
2021-02-20,15.110046227767327
2021-02-21,16.142357016749898
2021-02-22,14.78949204295829
2021-02-23,14.792862776567551
2021-02-24,14.903478348292094
2021-02-25,16.094202235350867
2021-02-26,12.662010486474676
2021-02-27,14.30426172846396
2021-02-28,14.506739074707246
2021-03-01,13.940311655404813
2021-03-02,14.774849439876297
2021-03-03,15.207652498146956
2021-03-04,13.420123904919002
2021-03-05,13.647602790958562
2021-03-06,14.398172483836268
2021-03-07,15.161203008588721
2021-03-08,13.862490612792557
2021-03-09,15.199615915240258
2021-03-10,14.61684687561154
2021-03-11,13.722742206798744
2021-03-12,12.476231897102021
2021-03-13,14.36292806168974
2021-03-14,17.666418262154483
2021-03-15,17.05092852117818
2021-03-16,16.473103722551116
2021-03-17,15.365811570086363
2021-03-18,15.378294904731447
2021-03-19,16.579767208673886
2021-03-20,15.47482613629312
2021-03-21,16.304464869571827
2021-03-22,15.072770871736829
2021-03-23,16.15801607470602
2021-03-24,15.303740768622665
2021-03-25,15.093525745401436
2021-03-26,14.206490648115036
2021-03-27,15.344590681953962
2021-03-28,17.31164974163254
2021-03-29,15.430654011084103
2021-03-30,16.409154903766364
2021-03-31,15.547925109256168
2021-04-01,16.19301958773366
2021-04-02,15.34942418387307
2021-04-03,15.141846485269545
2021-04-04,16.270453960516516
2021-04-05,15.848211210510808
2021-04-06,15.184500337111213
2021-04-07,14.693822977555694
2021-04-08,15.281179881546063
2021-04-09,14.169288884375856
2021-04-10,15.407896184391927
2021-04-11,15.769500961924445
2021-04-12,15.535073714384852
2021-04-13,15.91369848625047
2021-04-14,15.264416348497582
2021-04-15,15.425924156891796
2021-04-16,15.438209414204705
2021-04-17,15.453274809770933
2021-04-18,15.335874615032344
2021-04-19,14.626264832343344
2021-04-20,15.697950371772636
2021-04-21,14.224946368797228
2021-04-22,14.901298465757703
2021-04-23,14.987500164460696
2021-04-24,15.695306986376776
2021-04-25,16.27500592194273
2021-04-26,15.351355838371136
2021-04-27,15.245591018322171
2021-04-28,13.890069839903125
2021-04-29,15.5825886860078
2021-04-30,15.304718591683281
2021-05-01,18.638093124514125
2021-05-02,14.625088926343508
2021-05-03,15.68736578236283
2021-05-04,15.997684008427093
2021-05-05,16.199209536011338
2021-05-06,15.045614136812446
2021-05-07,15.308627326642709
2021-05-08,15.012971699114347
2021-05-09,15.111076314305608
2021-05-10,13.927460989180803
2021-05-11,15.11313562822517
2021-05-12,15.657214960939859
2021-05-13,15.721658520044627
2021-05-14,16.05267360588107
2021-05-15,15.297868448777052
2021-05-16,14.95755895901022
2021-05-17,15.460784933332485
2021-05-18,14.555025131359555
2021-05-19,14.257666599398233
2021-05-20,14.249841143953825
2021-05-21,14.980037667430716
2021-05-22,13.66152670379
2021-05-23,16.069498540511308
2021-05-24,14.231514539556887
2021-05-25,13.062418993954582
2021-05-26,14.297826486972754
2021-05-27,16.14078762688646
2021-05-28,13.47271746002301
2021-05-29,12.826029933074729
2021-05-30,13.24337168058218
2021-05-31,12.828004935841925
2021-06-01,15.953449701064848
2021-06-02,14.699588511197174
2021-06-03,15.2316586078673
2021-06-04,15.43159926773108
2021-06-05,16.04865684224253
2021-06-06,20.6326911637694
2021-06-07,17.83348691816933
2021-06-08,17.536807960066536
2021-06-09,13.095387376294179
2021-06-10,12.974776390056956
2021-06-11,11.882054597534738
2021-06-12,14.359131209043394
2021-06-13,14.064921998077779
2021-06-14,13.255561205728219
2021-06-15,13.715149126490138
2021-06-16,14.299114464323896
2021-06-17,13.298741262147209
2021-06-18,12.603360610904613
2021-06-19,12.890593220289995
2021-06-20,13.376787987686049
2021-06-21,13.327793415009195
2021-06-22,15.28019587366278
2021-06-23,14.195901306808615
2021-06-24,12.4652274523296
2021-06-25,13.7903432228349
2021-06-26,13.61332855036712
2021-06-27,12.925288835053113
2021-06-28,13.1550034473215
2021-06-29,13.309023321282018
2021-06-30,13.56444788573812
2021-07-01,11.980958116348367
2021-07-02,14.271968749233706
2021-07-03,12.701221612717953
2021-07-04,14.077280989706594
2021-07-05,14.05665855175068
2021-07-06,15.10282758705623
2021-07-07,15.520332623722597
2021-07-08,14.960778624252601
2021-07-09,13.618022384568988
2021-07-10,15.364849588600544
2021-07-11,15.1479699892505
2021-07-12,14.445456550309538
2021-07-13,14.781614868191532
2021-07-14,14.788367772890071
2021-07-15,15.104891492375085
2021-07-16,14.962923503015771
2021-07-17,14.352794151458623
2021-07-18,15.31838131368018
2021-07-19,15.460784933332485
2021-07-20,14.962923503015771
2021-07-21,14.820831864849719
2021-07-22,14.003868534354753
2021-07-23,14.45409924067643
2021-07-24,14.31453403480881
2021-07-25,14.415665523843069
2021-07-26,13.484115464904894
2021-07-27,13.846423637291446
2021-07-28,12.719633822966038
2021-07-29,14.352794151458623
2021-07-30,13.2258816791279
2021-07-31,14.633312263132844
2021-08-01,14.33499040317949
2021-08-02,15.074851608615285
2021-08-03,13.722742206798744
2021-08-04,13.74692904893542
2021-08-05,12.98985710913152
2021-08-06,13.911690356187133
2021-08-07,13.833222709090885
2021-08-08,14.452865842886654
2021-08-09,12.222699749136824
2021-08-10,13.770948678795506
2021-08-11,11.248235740291179
2021-08-12,13.63673418498326
2021-08-13,12.707370436568853
2021-08-14,12.707370436568853
2021-08-15,17.4698763349688
2021-08-16,13.438294217203984
2021-08-17,12.420834109193205
2021-08-18,11.192620630043082
2021-08-19,12.225074895512964
2021-08-20,11.576898403058303
2021-08-21,11.526961296923629
2021-08-22,12.880891087683812
2021-08-23,11.785413516436217
2021-08-24,11.274061134924647
2021-08-25,12.074388710099363
2021-08-26,11.988636553449032
2021-08-27,10.285782574928424
2021-08-28,11.657440066553796
2021-08-29,11.309218879897196
2021-08-30,11.646060682906658
2021-08-31,12.953928740006452
2021-09-01,13.259035895351085
2021-09-02,13.516474116881739
2021-09-03,12.302488731241462
2021-09-04,15.928653442944311
2021-09-05,14.810787648433095
2021-09-06,15.31155619677088
